Key,分類,ID,名稱,單位,備註,Tooltip文字
週期-年-AverageProfitChange,週期-年,AverageProfitChange,平均單年獲利金額變動,%,不支援時間加權,平均單年獲利金額變動。獲利年數中，平均複利增長的百分比率
週期-年-AverageProfitChange_Amount,週期-年,AverageProfitChange_Amount,平均單年獲利金額變動,$,不支援時間加權,平均單年獲利金額變動。獲利年數中，平均複利增長的百分比率
週期-年-AverageLossChange,週期-年,AverageLossChange,平均單年虧損金額變動,%,不支援時間加權,平均單年虧損金額變動。虧損年數中，平均複利增長的百分比率
週期-年-AverageLossChange_Amount,週期-年,AverageLossChange_Amount,平均單年虧損金額變動,$,不支援時間加權,平均單年虧損金額變動。虧損年數中，平均複利增長的百分比率
週期-年-AverageProfitLossRatio,週期-年,AverageProfitLossRatio,平均單年獲利虧損比,,不支援時間加權,平均單年獲利虧損比。平均單年獲利金額變動 / ABS(平均單年虧損金額變動)；ABS為絕對值
週期-年-MaxProfit,週期-年,MaxProfit,最大單年獲利,%,不支援時間加權,年損益中的最大值
週期-年-MaxProfit_Amount,週期-年,MaxProfit_Amount,最大單年獲利,$,不支援時間加權,年損益中的最大值
週期-年-MaxLoss,週期-年,MaxLoss,最大單年虧損,%,不支援時間加權,年損益中的最小值
週期-年-MaxLoss_Amount,週期-年,MaxLoss_Amount,最大單年虧損,$,不支援時間加權,年損益中的最小值
週期-年-MaxRunUp,週期-年,MaxRunUp,最大區間獲利,%,不支援時間加權,列出回測中每一段獲利(淨利>0)區間的累加淨利變化，取最大值
週期-年-MaxRunUp_Amount,週期-年,MaxRunUp_Amount,最大區間獲利,$,不支援時間加權,列出回測中每一段獲利(淨利>0)區間的累加淨利變化，取最大值
週期-年-MaxDrawdown,週期-年,MaxDrawdown,最大區間虧損,%,不支援時間加權,列出回測中每一段虧損(淨利<0)區間的累加淨利變化，取最小值
週期-年-MaxDrawdown_Amount,週期-年,MaxDrawdown_Amount,最大區間虧損,$,不支援時間加權,列出回測中每一段虧損(淨利<0)區間的累加淨利變化，取最小值
