欄位分類,欄位名稱,單位,顯示規則,Tooltip
分組資訊,分組,,,
分組資訊,樣本數,次,,
報酬統計,累計報酬率,"%, $",報酬率：正紅字、負綠字,
報酬統計,平均單筆報酬率,"%, $",報酬率：正紅字、負綠字,
報酬統計,勝率,%,,
風險指標,最大區間虧損,"%, $",報酬率：正紅字、負綠字,
風險指標,日標準差,,,
風險指標,Beta,,,
績效指標,夏普比率,,,
績效指標,索提諾比率,,,
績效指標,Alpha,%,報酬率：正紅字、負綠字,
