商品統計表,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
商品名稱,淨利,毛利,獲利因子,毛損,總交易成本,最大投入金額,總交易次數,獲利交易次數,勝率,虧損交易次數,平均交易,平均獲利交易,平均獲利虧損比,平均虧損交易,最大獲利交易,最大虧損交易,最大區間獲利,最大區間虧損,全部交易的平均持倉K線根數,獲利交易的平均持倉K線根數,回測K線根數,虧損交易的平均持倉K線根數,時間加權報酬,最大投入報酬率,買進持有報酬,大盤指數報酬
,-0.00%,0.03%,,-0.03%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.01%,-0.02%,,,,,-5.41%,-1.29%,90.86%,165.57%
CoStar Group(CSGP.US),-34,32,-0.48,-67,0,91.91,29,11,37.93%,18,-1,3,0.79,-4,9,-11,19,-54,12.97,17.09,752,10.44,"-42,347",-34,"-44,591","165,565"
,-0.03%,0.03%,,-0.07%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.05%,,,,,-42.35%,-37.51%,-44.59%,165.57%
CSX(CSX.US),7,18,1.59,-11,0,40.4,24,9,37.50%,15,0,2,2.65,-1,6,-2,14,-10,16.67,24.00,752,12.27,"17,841",7,"35,786","165,565"
,0.01%,0.02%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.01%,-0.01%,,,,,17.84%,16.68%,35.79%,165.57%
Cintas(CTAS.US),29,83,1.54,-54,0,190.39,31,16,51.61%,15,1,5,1.44,-4,26,-19,58,-29,13.90,19.25,752,8.20,"20,087",29,"51,674","165,565"
,0.03%,0.08%,,-0.05%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.03%,-0.02%,0.06%,-0.03%,,,,,20.09%,15.18%,51.67%,165.57%
Coterra Energy(CTRA.US),7,20,1.57,-13,0,29.49,27,11,40.74%,16,0,2,2.28,-1,4,-1,14,-7,15.78,22.27,752,11.31,"26,993",7,"29,442","165,565"
,0.01%,0.02%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.01%,,,,,26.99%,24.04%,29.44%,165.57%
Cognizant(CTSH.US),8,43,1.23,-35,0,82.7,28,10,35.71%,18,0,4,2.21,-2,10,-5,24,-19,14.25,20.70,752,10.67,"9,044",8,"-1,259","165,565"
,0.01%,0.04%,,-0.04%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.02%,-0.02%,,,,,9.04%,9.67%,-1.26%,165.57%
Corteva(CTVA.US),6,37,1.19,-31,0,76.45,28,11,39.29%,17,0,3,1.85,-2,12,-10,22,-17,14.82,19.36,752,11.88,"7,396",6,"28,481","165,565"
,0.01%,0.04%,,-0.03%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.02%,,,,,7.40%,7.89%,28.48%,165.57%
Carvana(CVNA.US),114,395,1.41,-281,0,309.57,27,14,51.85%,13,4,28,1.31,-22,102,-52,231,-151,14.85,20.50,752,8.77,"522,525",114,"5,045,556","165,565"
,0.11%,0.39%,,-0.28%,0.00%,,,,,,0.00%,0.03%,,-0.02%,0.10%,-0.05%,0.23%,-0.15%,,,,,522.52%,36.87%,5045.56%,165.57%
CVS Health(CVS.US),-5,52,-0.91,-57,0,84.28,36,12,33.33%,24,-0,4,1.82,-2,12,-7,22,-22,11.67,20.50,752,7.25,-320,-5,"4,413","165,565"
,-0.01%,0.05%,,-0.06%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.02%,,,,,-0.32%,-6.07%,4.41%,165.57%
