商品統計表,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
商品名稱,淨利,毛利,獲利因子,毛損,總交易成本,最大投入金額,總交易次數,獲利交易次數,勝率,虧損交易次數,平均交易,平均獲利交易,平均獲利虧損比,平均虧損交易,最大獲利交易,最大虧損交易,最大區間獲利,最大區間虧損,全部交易的平均持倉K線根數,獲利交易的平均持倉K線根數,回測K線根數,虧損交易的平均持倉K線根數,時間加權報酬,最大投入報酬率,買進持有報酬,大盤指數報酬
,0.02%,0.05%,,-0.03%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.03%,-0.01%,,,,,30.50%,24.89%,103.13%,165.57%
Evergy(EVRG.US),22,40,2.19,-18,0,63.23,27,12,44.44%,15,1,3,2.73,-1,9,-3,31,-8,14.70,24.67,752,6.73,"37,290",22,"26,373","165,565"
,0.02%,0.04%,,-0.02%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.03%,-0.01%,,,,,37.29%,34.33%,26.37%,165.57%
Edwards Lifesciences(EW.US),20,45,1.79,-25,0,89.26,24,11,45.83%,13,1,4,2.11,-2,8,-5,35,-16,17.42,20.82,752,14.54,"28,096",20,"-6,287","165,565"
,0.02%,0.04%,,-0.03%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.04%,-0.02%,,,,,28.10%,22.15%,-6.29%,165.57%
Exelon(EXC.US),4,22,1.21,-19,0,47.59,27,8,29.63%,19,0,3,2.87,-1,6,-3,13,-10,15.81,31.00,752,9.42,"8,433",4,"6,182","165,565"
,0.00%,0.02%,,-0.02%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.01%,-0.01%,,,,,8.43%,8.17%,6.18%,165.57%
Expand Energy(EXE.US),-1,26,-0.96,-27,0,112.22,12,5,41.67%,7,-0,5,1.35,-4,8,-7,21,-24,13.25,19.60,752,8.71,256,-1,"18,860","165,565"
,-0.00%,0.03%,,-0.03%,0.00%,,,,,,-0.00%,0.01%,,-0.00%,0.01%,-0.01%,0.02%,-0.02%,,,,,0.26%,-0.90%,18.86%,165.57%
Expeditors(EXPD.US),-35,41,-0.54,-76,0,182.48,33,9,27.27%,24,-1,5,1.44,-3,8,-18,16,-57,11.73,18.22,752,9.29,"-23,372",-35,"33,911","165,565"
,-0.04%,0.04%,,-0.08%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.02%,0.02%,-0.06%,,,,,-23.37%,-19.20%,33.91%,165.57%
Expedia Group(EXPE.US),-46,165,-0.78,-211,0,310.84,32,13,40.63%,19,-1,13,1.14,-11,43,-77,63,-147,12.22,17.54,752,8.58,"-6,462",-46,"180,237","165,565"
,-0.05%,0.16%,,-0.21%,0.00%,,,,,,-0.00%,0.01%,,-0.01%,0.04%,-0.08%,0.06%,-0.15%,,,,,-6.46%,-14.94%,180.24%,165.57%
Extra Space(EXR.US),27,93,1.42,-65,0,153,27,10,37.04%,17,1,9,2.41,-4,48,-7,59,-28,13.67,21.80,752,8.88,"23,296",27,"-7,064","165,565"
,0.03%,0.09%,,-0.07%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.05%,-0.01%,0.06%,-0.03%,,,,,23.30%,17.82%,-7.06%,165.57%
Ford Motor(F.US),2,8,1.41,-5,0,11.72,29,11,37.93%,18,0,1,2.30,-0,2,-1,6,-5,14.79,22.91,752,9.83,"21,929",2,"9,500","165,565"
,0.00%,0.01%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.01%,,,,,21.93%,18.77%,9.50%,165.57%
Diamondback Energy(FANG.US),24,116,1.27,-91,0,166.71,27,11,40.74%,16,1,11,1.84,-6,28,-16,60,-56,14.26,17.73,752,11.88,"16,557",24,"37,858","165,565"
,0.02%,0.12%,,-0.09%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.03%,-0.02%,0.06%,-0.06%,,,,,16.56%,14.52%,37.86%,165.57%
Fastenal(FAST.US),-1,18,-0.94,-19,0,44.52,35,13,37.14%,22,-0,1,1.60,-1,3,-4,9,-8,10.26,16.85,752,6.36,-656,-1,"64,116","165,565"
,-0.00%,0.02%,,-0.02%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.01%,,,,,-0.66%,-2.34%,64.12%,165.57%
Freeport-McMoran(FCX.US),26,61,1.75,-35,0,50.25,31,10,32.26%,21,1,6,3.68,-2,18,-4,32,-16,13.10,22.10,752,8.81,"62,114",26,"79,536","165,565"
,0.03%,0.06%,,-0.03%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.00%,0.03%,-0.02%,,,,,62.11%,51.96%,79.54%,165.57%
FactSet Research(FDS.US),-82,133,-0.62,-215,0,509.19,28,7,25.00%,21,-3,19,1.85,-10,47,-32,61,-163,13.43,18.86,752,11.62,"-12,292",-82,"-42,600","165,565"
,-0.08%,0.13%,,-0.21%,0.00%,,,,,,-0.00%,0.02%,,-0.01%,0.05%,-0.03%,0.06%,-0.16%,,,,,-12.29%,-16.13%,-42.60%,165.57%
FedEx(FDX.US),43,231,1.23,-188,0,368.07,32,12,37.50%,20,1,19,2.05,-9,63,-36,106,-140,12.84,23.75,752,6.30,"4,869",43,"67,078","165,565"
,0.04%,0.23%,,-0.19%,0.00%,,,,,,0.00%,0.02%,,-0.01%,0.06%,-0.04%,0.11%,-0.14%,,,,,4.87%,11.72%,67.08%,165.57%
FirstEnergy(FE.US),5,16,1.49,-11,0,45.56,28,12,42.86%,16,0,1,1.99,-1,4,-1,10,-6,11.64,17.25,752,7.44,"10,341",5,"18,993","165,565"
,0.01%,0.02%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.01%,,,,,10.34%,11.33%,18.99%,165.57%
F5(FFIV.US),58,165,1.55,-107,0,259.11,30,14,46.67%,16,2,12,1.77,-7,43,-31,114,-53,14.20,22.07,752,7.31,"32,943",58,"132,276","165,565"
,0.06%,0.17%,,-0.11%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.04%,-0.03%,0.11%,-0.05%,,,,,32.94%,22.55%,132.28%,165.57%
Fair Isaac(FICO.US),-322,"1,344",-0.81,"-1,666",0,"1,607.21",29,12,41.38%,17,-11,112,1.14,-98,253,-314,877,"-1,111",13.03,18.92,752,8.88,"-24,763",-322,"34,278","165,565"
,-0.32%,1.34%,,-1.67%,0.00%,,,,,,-0.01%,0.11%,,-0.10%,0.25%,-0.31%,0.88%,-1.11%,,,,,-24.76%,-20.02%,34.28%,165.57%
Fidelity National Information Services(FIS.US),-38,30,-0.44,-68,0,86.91,29,10,34.48%,19,-1,3,0.85,-4,7,-21,19,-54,15.07,17.70,752,13.68,"-44,249",-38,"-15,282","165,565"
,-0.04%,0.03%,,-0.07%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.02%,0.02%,-0.05%,,,,,-44.25%,-43.36%,-15.28%,165.57%
Fiserv(FISV.US),2,8,1.41,-6,0,64.27,4,2,50.00%,2,1,4,1.41,-3,7,-4,10,-12,17.25,28.50,752,6.00,"4,244",2,"-45,899","165,565"
,0.00%,0.01%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.01%,-0.01%,,,,,4.24%,3.75%,-45.90%,165.57%
Fifth Third(FITB.US),28,40,3.30,-12,0,30.3,29,14,48.28%,15,1,3,3.54,-1,11,-2,29,-6,13.55,21.07,752,6.53,"116,758",28,"84,324","165,565"
,0.03%,0.04%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.03%,-0.01%,,,,,116.76%,91.39%,84.32%,165.57%
Comfort Systems USA(FIX.US),639,895,3.49,-256,0,"1,085.87",30,17,56.67%,13,21,53,2.67,-20,214,-45,639,-178,14.03,17.71,752,9.23,"191,991",639,"1,162,253","165,565"
,0.64%,0.89%,,-0.26%,0.00%,,,,,,0.02%,0.05%,,-0.02%,0.21%,-0.04%,0.64%,-0.18%,,,,,191.99%,58.81%,1162.25%,165.57%
Fox - Class B(FOX.US),19,34,2.34,-14,0,51.75,30,10,33.33%,20,1,3,4.68,-1,7,-5,26,-8,15.23,27.20,752,9.25,"36,833",19,"89,731","165,565"
,0.02%,0.03%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.03%,-0.01%,,,,,36.83%,37.33%,89.73%,165.57%
Fox - Class A(FOXA.US),3,31,1.12,-28,0,62.02,31,12,38.71%,19,0,3,1.77,-1,7,-11,24,-25,16.00,21.08,752,12.79,"5,370",3,"95,585","165,565"
,0.00%,0.03%,,-0.03%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.02%,,,,,5.37%,5.26%,95.58%,165.57%
Federal Realty Investment Trust(FRT.US),-7,47,-0.87,-54,0,118.02,30,11,36.67%,19,-0,4,1.50,-3,11,-11,22,-43,14.63,21.64,752,10.58,"-5,071",-7,"12,919","165,565"
,-0.01%,0.05%,,-0.05%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.04%,,,,,-5.07%,-6.05%,12.92%,165.57%
First Solar(FSLR.US),-233,131,-0.36,-363,0,421.25,38,7,18.42%,31,-6,19,1.59,-12,73,-37,93,-257,11.32,16.14,752,10.23,"-72,865",-233,"-9,928","165,565"
,-0.23%,0.13%,,-0.36%,0.00%,,,,,,-0.01%,0.02%,,-0.01%,0.07%,-0.04%,0.09%,-0.26%,,,,,-72.86%,-55.24%,-9.93%,165.57%
Fortinet(FTNT.US),1,55,1.02,-54,0,98.79,31,11,35.48%,20,0,5,1.85,-3,16,-12,45,-29,11.90,17.36,752,8.90,"-2,982",1,"29,830","165,565"
,0.00%,0.05%,,-0.05%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.02%,-0.01%,0.04%,-0.03%,,,,,-2.98%,0.85%,29.83%,165.57%
Fortive(FTV.US),13,43,1.42,-31,0,78.65,24,12,50.00%,12,1,4,1.42,-3,12,-7,23,-11,17.29,20.08,752,14.50,"19,119",13,"-8,522","165,565"
,0.01%,0.04%,,-0.03%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.02%,-0.01%,,,,,19.12%,16.17%,-8.52%,165.57%
General Dynamics(GD.US),-138,42,-0.24,-180,0,458.57,36,10,27.78%,26,-4,4,0.61,-7,15,-38,27,-143,10.36,15.40,752,8.42,"-35,807",-138,"42,519","165,565"
,-0.14%,0.04%,,-0.18%,0.00%,,,,,,-0.00%,0.00%,,-0.01%,0.02%,-0.04%,0.03%,-0.14%,,,,,-35.81%,-30.08%,42.52%,165.57%
GoDaddy(GDDY.US),-8,65,-0.89,-73,0,162.49,27,9,33.33%,18,-0,7,1.77,-4,25,-12,57,-64,11.89,16.89,752,9.39,"-6,573",-8,"14,360","165,565"
,-0.01%,0.06%,,-0.07%,0.00%,,,,,,-0.00%,0.01%,,-0.00%,0.03%,-0.01%,0.06%,-0.06%,,,,,-6.57%,-5.12%,14.36%,165.57%
GE Aerospace(GE.US),134,219,2.57,-85,0,214.16,33,14,42.42%,19,4,16,3.49,-5,62,-18,186,-44,13.30,21.36,752,7.37,"77,024",134,"247,893","165,565"
,0.13%,0.22%,,-0.09%,0.00%,,,,,,0.00%,0.02%,,-0.00%,0.06%,-0.02%,0.19%,-0.04%,,,,,77.02%,62.57%,247.89%,165.57%
GE HealthCare(GEHC.US),-6,44,-0.87,-50,0,85.99,31,12,38.71%,19,-0,4,1.38,-3,16,-6,27,-24,12.03,17.25,752,8.74,"-8,596",-6,"-17,575","165,565"
,-0.01%,0.04%,,-0.05%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.02%,-0.01%,0.03%,-0.02%,,,,,-8.60%,-7.38%,-17.58%,165.57%
Gen(GEN.US),1,16,1.07,-15,0,22.83,31,11,35.48%,20,0,1,1.95,-1,5,-3,11,-9,12.97,18.91,752,9.70,"8,950",1,"13,258","165,565"
,0.00%,0.02%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.01%,-0.01%,,,,,8.95%,4.73%,13.26%,165.57%
GE Vernova(GEV.US),360,663,2.19,-303,0,767.34,20,5,25.00%,15,18,133,6.56,-20,218,-46,372,-180,10.75,28.20,519,4.93,"93,481",360,"880,487","165,565"
,0.36%,0.66%,,-0.30%,0.00%,,,,,,0.02%,0.13%,,-0.02%,0.22%,-0.05%,0.37%,-0.18%,,,,,93.48%,46.89%,880.49%,165.57%
Gilead Sciences(GILD.US),13,71,1.22,-58,0,133.51,37,10,27.03%,27,0,7,3.30,-2,27,-11,38,-22,10.78,19.80,752,7.44,"5,269",13,"53,429","165,565"
,0.01%,0.07%,,-0.06%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.03%,-0.01%,0.04%,-0.02%,,,,,5.27%,9.65%,53.43%,165.57%
General Mills(GIS.US),-30,11,-0.27,-41,0,88.87,27,3,11.11%,24,-1,4,2.18,-2,9,-6,13,-31,12.30,31.00,752,9.96,"-40,731",-30,"-59,769","165,565"
,-0.03%,0.01%,,-0.04%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.01%,-0.03%,,,,,-40.73%,-33.48%,-59.77%,165.57%
Globe Life(GL.US),28,68,1.68,-41,0,128.92,31,9,29.03%,22,1,8,4.10,-2,18,-9,33,-26,12.35,20.44,752,9.05,"24,987",28,"41,105","165,565"
,0.03%,0.07%,,-0.04%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.03%,-0.03%,,,,,24.99%,21.41%,41.10%,165.57%
Corning(GLW.US),91,116,4.70,-25,0,82.46,30,12,40.00%,18,3,10,7.04,-1,53,-10,98,-27,13.33,24.58,752,5.83,"171,939",91,"402,262","165,565"
,0.09%,0.12%,,-0.02%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.05%,-0.01%,0.10%,-0.03%,,,,,171.94%,110.33%,402.26%,165.57%
General Motors(GM.US),14,41,1.52,-27,0,71.83,27,13,48.15%,14,1,3,1.64,-2,8,-4,21,-15,13.81,19.85,752,8.21,"35,547",14,"133,935","165,565"
,0.01%,0.04%,,-0.03%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.02%,-0.01%,,,,,35.55%,19.62%,133.94%,165.57%
Generac(GNRC.US),104,220,1.89,-116,0,177.47,26,13,50.00%,13,4,17,1.89,-9,70,-43,149,-88,14.85,19.46,752,10.23,"85,255",104,"108,865","165,565"
,0.10%,0.22%,,-0.12%,0.00%,,,,,,0.00%,0.02%,,-0.01%,0.07%,-0.04%,0.15%,-0.09%,,,,,85.26%,58.48%,108.87%,165.57%
Alphabet - Class C Capital Stock(GOOG.US),119,207,2.36,-88,0,244.72,32,18,56.25%,14,4,11,1.84,-6,43,-12,121,-45,13.22,14.83,752,11.14,"72,829",119,"218,463","165,565"
,0.12%,0.21%,,-0.09%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.04%,-0.01%,0.12%,-0.04%,,,,,72.83%,48.77%,218.46%,165.57%
Alphabet - Class A Common Stock(GOOGL.US),133,220,2.53,-87,0,232.13,34,21,61.76%,13,4,10,1.56,-7,43,-12,136,-46,12.88,14.52,752,10.23,"86,361",133,"221,661","165,565"
,0.13%,0.22%,,-0.09%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.04%,-0.01%,0.14%,-0.05%,,,,,86.36%,57.36%,221.66%,165.57%
Genuine Parts(GPC.US),-19,53,-0.74,-72,0,170.13,26,11,42.31%,15,-1,5,1.01,-5,12,-20,41,-64,14.73,20.45,752,10.53,"-10,914",-19,"-32,881","165,565"
,-0.02%,0.05%,,-0.07%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.02%,0.04%,-0.06%,,,,,-10.91%,-10.89%,-32.88%,165.57%
Global Payments(GPN.US),-14,57,-0.80,-71,0,122.39,25,9,36.00%,16,-1,6,1.43,-4,15,-15,31,-53,15.20,24.33,752,10.06,"-11,431",-14,"-34,348","165,565"
,-0.01%,0.06%,,-0.07%,0.00%,,,,,,-0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.03%,-0.05%,,,,,-11.43%,-11.38%,-34.35%,165.57%
Garmin(GRMN.US),111,188,2.45,-77,0,188.17,27,14,51.85%,13,4,13,2.28,-6,41,-29,121,-62,14.93,21.79,752,7.54,"91,456",111,"172,225","165,565"
,0.11%,0.19%,,-0.08%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.04%,-0.03%,0.12%,-0.06%,,,,,91.46%,59.24%,172.23%,165.57%
Goldman Sachs(GS.US),384,591,2.86,-207,0,549.66,29,14,48.28%,15,13,42,3.07,-14,100,-29,487,-235,15.31,20.36,752,10.60,"112,776",384,"173,353","165,565"
,0.38%,0.59%,,-0.21%,0.00%,,,,,,0.01%,0.04%,,-0.01%,0.10%,-0.03%,0.49%,-0.23%,,,,,112.78%,69.93%,173.35%,165.57%
W.W. Grainger(GWW.US),162,667,1.32,-504,0,"1,033.87",31,13,41.94%,18,5,51,1.83,-28,103,-108,293,-342,13.29,20.23,752,8.28,"22,681",162,"71,715","165,565"
,0.16%,0.67%,,-0.50%,0.00%,,,,,,0.01%,0.05%,,-0.03%,0.10%,-0.11%,0.29%,-0.34%,,,,,22.68%,15.68%,71.71%,165.57%
Halliburton(HAL.US),1,21,1.04,-20,0,37.09,30,9,30.00%,21,0,2,2.43,-1,5,-2,10,-13,12.97,19.00,752,10.38,"-7,728",1,"16,572","165,565"
,0.00%,0.02%,,-0.02%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.01%,-0.01%,,,,,-7.73%,2.13%,16.57%,165.57%
Hasbro(HAS.US),34,62,2.20,-28,0,66.77,28,15,53.57%,13,1,4,1.91,-2,12,-4,43,-10,13.00,18.60,752,6.54,"70,038",34,"75,193","165,565"
,0.03%,0.06%,,-0.03%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.04%,-0.01%,,,,,70.04%,50.73%,75.19%,165.57%
Huntington Bancshares(HBAN.US),6,14,1.66,-9,0,14.25,25,14,56.00%,11,0,1,1.31,-1,3,-3,7,-4,16.64,21.50,752,10.45,"50,040",6,"46,900","165,565"
,0.01%,0.01%,,-0.01%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.00%,,,,,50.04%,40.21%,46.90%,165.57%
HCA Healthcare(HCA.US),91,279,1.49,-188,0,406.1,28,14,50.00%,14,3,20,1.49,-13,69,-38,171,-93,13.96,20.71,752,7.21,"30,310",91,"66,047","165,565"
,0.09%,0.28%,,-0.19%,0.00%,,,,,,0.00%,0.02%,,-0.01%,0.07%,-0.04%,0.17%,-0.09%,,,,,30.31%,22.43%,66.05%,165.57%
Home Depot(HD.US),55,222,1.33,-166,0,351.54,27,11,40.74%,16,2,20,1.94,-10,61,-36,108,-82,15.85,22.45,752,11.31,"17,799",55,"13,167","165,565"
,0.06%,0.22%,,-0.17%,0.00%,,,,,,0.00%,0.02%,,-0.01%,0.06%,-0.04%,0.11%,-0.08%,,,,,17.80%,15.66%,13.17%,165.57%
The Hartford(HIG.US),53,75,3.48,-22,0,104.72,31,17,54.84%,14,2,4,2.86,-2,11,-6,62,-11,13.26,18.82,752,6.50,"57,865",53,"98,577","165,565"
,0.05%,0.07%,,-0.02%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.06%,-0.01%,,,,,57.87%,50.85%,98.58%,165.57%
Huntington Ingalls Industries(HII.US),-10,159,-0.94,-169,0,424.22,24,11,45.83%,13,-0,14,1.11,-13,31,-65,85,-116,17.04,18.55,752,15.77,-566,-10,"75,801","165,565"
,-0.01%,0.16%,,-0.17%,0.00%,,,,,,-0.00%,0.01%,,-0.01%,0.03%,-0.06%,0.08%,-0.12%,,,,,-0.57%,-2.47%,75.80%,165.57%
Hilton(HLT.US),127,174,3.69,-47,0,215.26,30,18,60.00%,12,4,10,2.46,-4,34,-15,160,-27,15.40,18.78,752,10.33,"62,303",127,"124,573","165,565"
,0.13%,0.17%,,-0.05%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.03%,-0.01%,0.16%,-0.03%,,,,,62.30%,58.93%,124.57%,165.57%
Honeywell(HON.US),46,128,1.56,-82,0,216.23,24,10,41.67%,14,2,13,2.18,-6,50,-24,69,-34,17.96,26.80,752,11.64,"24,217",46,"11,541","165,565"
,0.05%,0.13%,,-0.08%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.05%,-0.02%,0.07%,-0.03%,,,,,24.22%,21.15%,11.54%,165.57%
Robinhood Markets(HOOD.US),42,98,1.73,-57,0,69.41,29,11,37.93%,18,1,9,2.83,-3,23,-10,100,-56,12.97,23.36,752,6.61,"388,041",42,"818,276","165,565"
,0.04%,0.10%,,-0.06%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.10%,-0.06%,,,,,388.04%,59.80%,818.28%,165.57%
HP Enterprise(HPE.US),-2,16,-0.90,-18,0,30.56,30,9,30.00%,21,-0,2,2.10,-1,3,-3,6,-11,11.63,18.22,752,8.81,"-13,508",-2,"97,849","165,565"
,-0.00%,0.02%,,-0.02%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.01%,-0.01%,,,,,-13.51%,-5.92%,97.85%,165.57%
HP(HPQ.US),5,22,1.32,-16,0,32.23,23,7,30.43%,16,0,3,3.02,-1,8,-3,15,-12,17.43,25.43,752,13.94,"22,467",5,"-30,571","165,565"
,0.01%,0.02%,,-0.02%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.00%,0.01%,-0.01%,,,,,22.47%,16.38%,-30.57%,165.57%
Hormel Foods(HRL.US),-20,6,-0.25,-26,0,43.04,28,6,21.43%,22,-1,1,0.91,-1,3,-8,7,-21,14.36,25.83,752,11.23,"-46,999",-20,"-46,291","165,565"
,-0.02%,0.01%,,-0.03%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.00%,-0.01%,0.01%,-0.02%,,,,,-47.00%,-45.49%,-46.29%,165.57%
Henry Schein(HSIC.US),0,35,1.01,-35,0,83.24,29,10,34.48%,19,0,3,1.92,-2,9,-6,13,-21,13.48,21.90,752,9.05,953,0,"-7,639","165,565"
,0.00%,0.03%,,-0.03%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.01%,-0.01%,0.01%,-0.02%,,,,,0.95%,0.49%,-7.64%,165.57%
Host Hotels & Resorts(HST.US),-3,8,-0.71,-11,0,21.54,33,12,36.36%,21,-0,1,1.24,-1,1,-2,3,-6,11.18,17.33,752,7.67,"-16,665",-3,"31,789","165,565"
,-0.00%,0.01%,,-0.01%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.00%,-0.00%,0.00%,-0.01%,,,,,-16.66%,-14.58%,31.79%,165.57%
Hershey(HSY.US),-15,94,-0.86,-109,0,267,28,10,35.71%,18,-1,9,1.56,-6,24,-15,40,-54,13.25,16.90,752,11.22,"-7,121",-15,"-27,820","165,565"
,-0.01%,0.09%,,-0.11%,0.00%,,,,,,-0.00%,0.01%,,-0.01%,0.02%,-0.01%,0.04%,-0.05%,,,,,-7.12%,-5.52%,-27.82%,165.57%
Hubbell(HUBB.US),88,347,1.34,-259,0,488.84,32,13,40.63%,19,3,27,1.96,-14,60,-39,142,-161,13.31,19.00,752,9.42,"25,599",88,"138,503","165,565"
,0.09%,0.35%,,-0.26%,0.00%,,,,,,0.00%,0.03%,,-0.01%,0.06%,-0.04%,0.14%,-0.16%,,,,,25.60%,18.00%,138.50%,165.57%
Humana(HUM.US),-67,287,-0.81,-353,0,540.56,30,14,46.67%,16,-2,20,0.93,-22,76,-57,108,-184,13.93,21.64,752,7.19,-977,-67,"-55,790","165,565"
,-0.07%,0.29%,,-0.35%,0.00%,,,,,,-0.00%,0.02%,,-0.02%,0.08%,-0.06%,0.11%,-0.18%,,,,,-0.98%,-12.34%,-55.79%,165.57%
Howmet Aerospace(HWM.US),108,178,2.52,-71,0,136.31,28,13,46.43%,15,4,14,2.91,-5,36,-14,131,-35,13.14,20.85,752,6.47,"183,679",108,"460,186","165,565"
,0.11%,0.18%,,-0.07%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.04%,-0.01%,0.13%,-0.03%,,,,,183.68%,79.03%,460.19%,165.57%
Interactive Brokers(IBKR.US),62,78,4.78,-16,0,29.62,26,15,57.69%,11,2,5,3.51,-1,11,-5,67,-9,16.58,24.00,752,6.45,"260,325",62,"285,015","165,565"
,0.06%,0.08%,,-0.02%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.01%,-0.01%,0.07%,-0.01%,,,,,260.33%,208.98%,285.02%,165.57%
IBM(IBM.US),96,190,2.02,-94,0,170.78,20,12,60.00%,8,5,16,1.35,-12,37,-31,178,-85,17.15,21.00,752,11.38,"73,944",96,"100,605","165,565"
,0.10%,0.19%,,-0.09%,0.00%,,,,,,0.00%,0.02%,,-0.01%,0.04%,-0.03%,0.18%,-0.08%,,,,,73.94%,56.28%,100.61%,165.57%
Intercontinental Exchange(ICE.US),25,78,1.48,-53,0,162.98,28,12,42.86%,16,1,6,1.97,-3,18,-10,46,-16,12.82,18.92,752,8.25,"17,646",25,"45,961","165,565"
,0.03%,0.08%,,-0.05%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.02%,-0.01%,0.05%,-0.02%,,,,,17.65%,15.43%,45.96%,165.57%
IDEXX Laboratories(IDXX.US),-8,332,-0.98,-340,0,661.67,26,7,26.92%,19,-0,47,2.65,-18,117,-43,195,-191,12.23,23.29,752,8.16,"5,511",-8,"16,424","165,565"
,-0.01%,0.33%,,-0.34%,0.00%,,,,,,-0.00%,0.05%,,-0.02%,0.12%,-0.04%,0.19%,-0.19%,,,,,5.51%,-1.24%,16.42%,165.57%
IDEX Corp.(IEX.US),11,107,1.11,-96,0,238.17,27,10,37.04%,17,0,11,1.89,-6,24,-14,52,-54,15.33,21.00,752,12.00,"3,718",11,"-6,226","165,565"
,0.01%,0.11%,,-0.10%,0.00%,,,,,,0.00%,0.01%,,-0.01%,0.02%,-0.01%,0.05%,-0.05%,,,,,3.72%,4.55%,-6.23%,165.57%
International Flavors & Fragrances(IFF.US),-17,38,-0.70,-55,0,95.95,30,11,36.67%,19,-1,3,1.21,-3,10,-20,29,-54,17.50,24.09,752,13.68,"-15,481",-17,"-26,279","165,565"
,-0.02%,0.04%,,-0.05%,0.00%,,,,,,-0.00%,0.00%,,-0.00%,0.01%,-0.02%,0.03%,-0.05%,,,,,-15.48%,-17.20%,-26.28%,165.57%
Incyte(INCY.US),19,60,1.46,-41,0,83,23,10,43.48%,13,1,6,1.90,-3,14,-7,41,-22,17.00,29.60,752,7.31,"38,696",19,"29,748","165,565"
,0.02%,0.06%,,-0.04%,0.00%,,,,,,0.00%,0.01%,,-0.00%,0.01%,-0.01%,0.04%,-0.02%,,,,,38.70%,22.55%,29.75%,165.57%
Intel(INTC.US),28,51,2.26,-23,0,40.65,26,15,57.69%,11,1,3,1.65,-2,17,-7,34,-16,16.46,20.00,752,11.64,"121,175",28,"116,628","165,565"
,0.03%,0.05%,,-0.02%,0.00%,,,,,,0.00%,0.00%,,-0.00%,0.02%,-0.01%,0.03%,-0.02%,,,,,121.18%,69.45%,116.63%,165.57%
Intuit(INTU.US),67,443,1.18,-376,0,766.38,31,11,35.48%,20,2,40,2.14,-19,159,-64,259,-256,13.97,17.45,752,12.05,"16,887",67,"-9,196","165,565"
