週期分析(年),,
,,
項目,$,%
淨利/最大投入報酬率,"13,476",15.58%
勝率,75%,75%
最大區間獲利,"8,929",10.32%
最大區間虧損,"-1,252",-1.31%
獲利因子,11.76,11.76
總交易年數,4,4
獲利交易年數,3,3
虧損交易年數,1,1
毛利,"14,729",17.03%
毛損,"-1,252",-1.45%
最大單年獲利,"6,012",6.95%
最大單年虧損,"-1,252",-1.31%
平均單年金額變動,"3,369",3.69%
平均單年獲利金額變動,"4,910",5.41%
平均單年虧損金額變動,"-1,252",-1.31%
平均單年獲利虧損比,3.92,3.92
每一年(%),,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
每一年($),,
